City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
90,Sao Felix Do Xingu,BR,2022-04-10 14:54:08,-6.6447,-51.995,87.66,58,96,3.74
91,Korla,CN,2022-04-10 14:57:48,41.7597,86.1469,63.03,48,96,5.7
92,Westport,US,2022-04-10 14:57:48,41.1415,-73.3579,50.56,57,14,7.0
93,Harlingen,US,2022-04-10 14:57:49,26.1906,-97.6961,78.06,46,20,26.49
94,Muros,ES,2022-04-10 14:57:49,42.7762,-9.0603,72.68,69,42,15.66
95,Linqiong,CN,2022-04-10 14:57:49,30.4159,103.4609,73.22,57,86,2.82
96,Thompson,CA,2022-04-10 14:54:42,55.7435,-97.8558,33.96,93,100,6.91
97,Atuona,PF,2022-04-10 14:56:42,-9.8,-139.0333,78.89,76,14,17.67
98,Cairns,AU,2022-04-10 14:55:01,-16.9167,145.7667,80.55,82,75,11.5
99,Georgetown,MY,2022-04-10 14:57:19,5.4112,100.3354,84.15,75,20,2.3
100,Isla Vista,US,2022-04-10 14:57:50,34.4133,-119.861,68.34,68,40,3.44
101,Ambanja,MG,2022-04-10 14:57:04,-13.6833,48.45,85.93,88,89,1.74
102,Kolondieba,ML,2022-04-10 14:57:50,11.0882,-6.8926,108.0,13,18,1.52
103,Dingle,PH,2022-04-10 14:57:43,10.9995,122.6711,73.4,92,100,4.32
104,Kushima,JP,2022-04-10 14:57:51,31.4583,131.2333,62.98,84,89,3.13
105,Laguna,US,2022-04-10 14:57:51,38.421,-121.4238,55.53,30,75,7.0
106,Alofi,NU,2022-04-10 14:57:51,-19.0595,-169.9187,75.09,94,2,0.0
107,Trinidad,BO,2022-04-10 14:57:52,-14.8333,-64.9,82.99,81,29,6.8
108,Mahebourg,MU,2022-04-10 14:54:46,-20.4081,57.7,77.29,88,75,11.5
109,Souillac,MU,2022-04-10 14:57:52,-20.5167,57.5167,77.38,88,75,11.5
110,Winona,US,2022-04-10 14:57:52,43.9666,-91.7668,48.49,53,0,9.22
111,Morant Bay,JM,2022-04-10 14:57:53,17.8815,-76.4093,86.7,70,64,6.22
112,Albany,US,2022-04-10 14:51:59,42.6001,-73.9662,42.03,67,86,1.99
113,Ballina,AU,2022-04-10 14:57:53,-28.8667,153.5667,66.38,96,15,0.0
114,Provideniya,RU,2022-04-10 14:54:47,64.3833,-173.3,23.2,98,98,8.7
115,Shimoda,JP,2022-04-10 14:57:53,34.6667,138.95,60.1,81,98,7.38
116,Port Hardy,CA,2022-04-10 14:57:54,50.6996,-127.4199,37.4,93,20,8.05
117,Avera,US,2022-04-10 14:57:54,33.194,-82.5271,61.38,49,0,5.73
118,Hofn,IS,2022-04-10 14:53:08,64.2539,-15.2082,39.22,52,75,4.61
119,Port Elizabeth,ZA,2022-04-10 14:54:50,-33.918,25.5701,69.1,85,75,12.66
